"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"1","01_0019",5,1063.824679125,158.103381425,87.9366,485.3809675,6,1653.776942625,NA,246.543079725,117.5917,716.4432275,1,589.9522635,88.4396983,29.6551,231.06226
"2","01_0034",3,1768.052073375,283.825143075,75.3955,581.9874775,3,2670.581917125,NA,434.881956825,90.0549,790.601955,0,902.52984375,151.05681375,14.6594,208.6144775
"3","01_0089",3,168.444343125,29.035712625,29.1463,102.0237075,11,2009.6886465,NA,335.0620597,148.7129,802.6018,8,1841.244303375,306.026347075,119.5666,700.5780925
"4","01_0152",14,1611.210322125,229.214355825,181.2623,897.62673,18,2307.3393105,NA,357.1938509,224.9204,1093.50241,4,696.128988375,127.979495075,43.6581,195.87568
"5","01_0167",17,6987.807973125,1172.195276625,337.3481,2279.9230025,18,8814.0284118,NA,1478.50216044,379.339,2738.76174,1,1826.220438675,306.306883815,41.9909,458.8387375
"6","01_0168",14,9285.347255625,1517.069320125,361.4132,2887.6419,16,14666.060746125,NA,2449.531790025,457.8321,4071.5578475,2,5380.7134905,932.4624699,96.4189,1183.9159475
"7","01_0169",5,6113.277817875,944.146561175,196.2307,1982.6016925,23,38136.274173,NA,6215.9110484,938.7752,10376.2855625,18,32022.996355125,5271.764487225,742.5445,8393.68387
"8","01_0178",10,5152.2087735,822.5169513,241.3438,1752.1307375,12,6886.17917325,NA,1129.15713485,285.2993,2162.6265375,2,1733.97039975,306.64018355,43.9555,410.4958
"9","01_0198",6,7423.999981875,1266.561232375,185.0679,1807.3323125,7,12357.92468745,NA,2072.84157521,261.3404,3023.3585525,1,4933.924705575,806.280342835,76.2725,1216.02624
"10","01_0392",11,10453.600742625,1794.787394725,298.4892,2637.492715,11,10100.60905455,NA,1642.04705339,336.4332,2980.6777,0,-352.991688074999,-152.740341335,37.944,343.184985
