"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"32","24_0803",1,7.43882625,2.73130225,4.5549,8.1513575,5,95.48822025,NA,27.41319245,27.2716,69.50801,4,88.049394,24.6818902,22.7167,61.3566525
"33","24_0932",1,43.750614375,7.227260875,10.0876,31.9608575,1,109.9332,NA,21.20456,10.379,46.332,0,66.182585625,13.977299125,0.291400000000001,14.3711425
"34","24_0971",1,14.52497625,2.78017225,7.2489,15.9162575,1,23.4997875,NA,4.1583925,8.3305,21.4589375,0,8.97481125,1.37822025,1.0816,5.54268
"35","24_0988",2,19.32254775,6.37923195,9.8322,19.248515,9,149.120262,NA,47.6052696,42.5209,106.221115,7,129.79771425,41.22603765,32.6887,86.9726
"36","24_1210",1,5.276376,1.4618608,5.2673,8.25968,6,104.407275375,NA,22.908494675,40.4153,95.5515275,5,99.130899375,21.446633875,35.148,87.2918475
"37","24_1218",2,80.8260885,15.7912983,17.128,53.4237275,3,215.312830875,NA,41.679266575,28.4599,109.2037375,1,134.486742375,25.887968275,11.3319,55.78001
"38","24_1441",1,14.660109,6.2232322,3.0892,8.92463,1,11.6928,NA,4.49824,4.069,9.152,0,-2.967309,-1.7249922,0.979799999999999,0.227369999999999
"39","24_1447",1,57.6190125,12.0385225,8.3485,30.06575,1,127.19835,NA,24.06943,11.0545,51.623,0,69.5793375,12.0309075,2.706,21.55725
"40","26_0143",3,178.145647875,30.290305175,31.9381,112.0179775,4,434.517334875,NA,82.030204775,42.3591,187.379335,1,256.371687,51.7398996,10.421,75.3613575
"41","26_0157",12,200.384740125,65.443385225,55.4174,139.9308625,13,451.754688375,NA,115.785120075,76.2932,245.3175725,1,251.36994825,50.34173485,20.8758,105.38671
"42","26_0266",4,282.465129375,38.570287875,53.0611,199.4867875,4,609.1801596,NA,80.36253468,72.4374,358.0144425,0,326.715030225,41.792246805,19.3763,158.527655
"43","26_0574",3,447.43445325,46.07413885,58.452,314.2900475,8,636.610417875,NA,70.946851175,105.7034,470.3788375,5,189.175964625,24.872712325,47.2514,156.08879
"44","26_0593",3,1203.209706375,154.798654475,85.1746,611.4640675,3,1726.597469475,NA,232.227274455,96.8193,790.4771875,0,523.3877631,77.42861998,11.6447,179.01312
"45","26_0655",21,6422.8436865,883.0898967,370.4588,3045.2432725,45,11776.626120375,NA,1653.250160675,774.3271,5667.91797,24,5353.782433875,770.160263975,403.8683,2622.6746975
