"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"1","01_0100",15,1184.17063725,243.14044605,129.0262,522.6153075,15,2310.16339575,NA,440.52136535,160.8816,828.5487925,0,1125.9927585,197.3809193,31.8554,305.933485
"2","01_0118",9,831.092904,137.8230682,109.6526,453.9388425,8,1280.332400625,NA,235.001256125,97.7892,487.7290275,-1,449.239496625,97.178187925,-11.8634,33.790185
"3","01_0190",4,4231.302213375,656.490210075,146.3686,1380.968875,4,5047.648747875,NA,794.595980175,155.7667,1557.210655,0,816.3465345,138.1057701,9.3981,176.24178
"4","01_0199",9,4785.36655275,757.82418095,212.452,1643.403905,9,5972.85986355,NA,974.43602059,219.3396,1844.6031175,0,1187.4933108,216.61183964,6.88760000000002,201.1992125
"5","01_0201",1,74.54421,13.299958,10.7262,40.84223,1,78.583968,NA,10.7011744,13.8612,53.81948,0,4.03975800000001,-2.5987836,3.135,12.97725
"6","01_0214",7,1955.466646875,340.546664375,108.5901,657.9001,5,1610.594035875,NA,292.329240575,75.6593,484.94017,-2,-344.872611,-48.2174237999999,-32.9308,-172.95993
"7","01_0279",2,1272.43927125,177.83243825,66.4622,538.206955,1,1277.6786505,NA,202.3060579,38.8207,388.9060175,-1,5.23937924999973,24.47361965,-27.6415,-149.3009375
"8","01_0283",1,231.134553,36.9003674,17.6528,97.41303,1,291.285657,NA,44.6900506,20.5264,122.76407,0,60.151104,7.7896832,2.8736,25.35104
"9","01_0284",1,77.808276,12.2504008,12.3386,47.36732,3,436.1637294,NA,75.07975652,39.9254,187.675345,2,358.3554534,62.82935572,27.5868,140.308025
"10","01_0290",11,6531.220119375,1083.335964875,238.4664,1944.416045,12,8125.576072875,NA,1357.353970175,274.9305,2348.0446275,1,1594.3559535,274.0180053,36.4641,403.6285825
"11","01_0391",5,1815.36063975,243.61343055,115.6179,850.8903975,4,1724.784798375,NA,242.360758075,91.2661,743.3007725,-1,-90.5758413750002,-1.25267247500003,-24.3518,-107.589625
"12","01_0393",3,927.869616,120.7579728,74.5602,473.26422,6,1651.7102859,NA,249.56481922,115.5303,700.4286575,3,723.8406699,128.80684642,40.9701,227.1644375
"13","01_0394",15,4619.563007625,823.748301725,233.4264,1461.34703,13,7329.480319575,NA,1288.532479035,254.177,1982.3235575,-2,2709.91731195,464.78417731,20.7506,520.9765275
"14","01_0616",5,643.603260375,113.084857675,57.8387,278.6809025,4,933.17019975,NA,164.18779855,58.2957,331.7975375,-1,289.566939375,51.102940875,0.456999999999994,53.116635
"15","01_0640",10,706.55982075,154.81222535,74.2487,301.85727,12,1372.599261,NA,260.0449988,117.0827,543.9173025,2,666.03944025,105.23277345,42.834,242.0600325
"16","01_0660",1,8.400904875,3.158095775,4.4222,8.3687175,2,55.134390375,NA,12.978776675,13.1279,36.817495,1,46.7334855,9.8206809,8.7057,28.4487775
"17","01_0661",7,7377.8750505,1230.9164879,215.7497,1995.3058125,4,5171.78449125,NA,884.40009925,125.5432,1265.9307375,-3,-2206.09055925,-346.51638865,-90.2065,-729.375075
"18","01_0672",3,137.05260075,38.54589935,12.6342,55.400345,3,131.788654875,NA,25.026660775,24.3889,83.990335,0,-5.26394587499999,-13.519238575,11.7547,28.58999
"19","01_0680",6,1757.39045175,325.89610515,78.0112,512.44193,7,2370.856799025,NA,427.873877845,106.7731,699.240685,1,613.466347275,101.977772695,28.7619,186.798755
"20","01_0681",3,2699.162298,410.7545484,94.7434,936.54275,4,3036.801000375,NA,459.145739675,109.8169,1076.7617575,1,337.638702375,48.391191275,15.0735,140.2190075
"21","01_0748",11,776.088648225,139.887046205,109.9375,424.7425325,12,1351.275724125,NA,254.705672425,126.0057,573.2823525,1,575.1870759,114.81862622,16.0682,148.53982
"22","01_0762",18,3503.663771625,608.107532925,218.4614,1273.18191,17,4855.304439,NA,876.5421262,216.2546,1423.50494,-1,1351.640667375,268.434593275,-2.20679999999999,150.32303
"23","01_0794",16,1953.086653125,325.419590625,180.7808,897.5927675,17,2988.42383475,NA,513.97765655,211.1596,1186.124225,1,1035.337181625,188.558065925,30.3788,288.5314575
"24","01_0865",8,333.831625875,80.621002575,51.3344,176.7909,8,613.587999375,NA,130.732518875,62.9317,261.08797,0,279.7563735,50.1115163,11.5973,84.29707
"25","01_0896",2,2307.4901685,350.3392423,78.7988,787.9317875,2,2283.348321,NA,328.4759618,85.6954,867.54382,0,-24.1418475000005,-21.8632805000001,6.89660000000001,79.6120324999999
"26","01_1016",19,2171.204973,388.3057284,204.9625,983.2533425,23,3813.284939625,NA,719.486807325,245.596,1353.58652,4,1642.079966625,331.181078925,40.6335,370.3331775
"27","01_1029",9,1867.404105,343.831474,114.9752,646.1236925,11,2686.31268075,NA,491.48402335,149.7102,881.838815,2,818.90857575,147.65254935,34.735,235.7151225
"28","01_1030",12,843.88086,165.658228,108.721,422.94538,13,2031.323621625,NA,349.861997925,170.8639,856.2800675,1,1187.442761625,184.203769925,62.1429,433.3346875
"29","01_1058",1,355.316787,26.4284846,36.4868,278.10783,1,519.763915125,NA,63.455410225,34.4354,271.2141575,0,164.447128125,37.026925625,-2.0514,-6.89367250000004
"30","01_1084",13,385.534486125,47.699292025,133.635,382.5746925,27,1427.432679225,NA,234.570531005,265.9581,935.159225,14,1041.8981931,186.87123898,132.3231,552.5845325
"31","01_1191",7,7365.32584425,1127.30239165,259.6148,2483.1521,8,8670.799069875,NA,1330.131357775,299.8623,2893.32329,1,1305.473225625,202.828966125,40.2475,410.17119
"32","01_1207",5,483.932367,86.3522236,56.4368,237.3188675,4,530.193148875,NA,92.217490975,50.935,239.8185075,-1,46.260781875,5.86526737499999,-5.5018,2.49963999999997
"33","01_1238",8,4828.573243125,773.506772625,184.0252,1569.2837875,10,5502.28892175,NA,848.03772615,232.2649,1968.8601075,2,673.715678625,74.530953525,48.2397,399.57632
